"","song","artist","lyrics"
"1","A Bar Song (Tipsy)","Shaboozey","  My baby want a Birkin, she's been tellin' me all night long Gasoline and groceries, the list goes on and on This nine-to-five ain't workin', why the hell do I work so hard? I can't worry 'bout my problems, I can't take 'em when I'm gone, uh    One, here comes the two to the three to the four Tell 'em ""Bring another round,"" we need plenty more Two-steppin' on the table, she don't need a dance floor Oh my, good Lord    Someone pour me up a double shot of whiskey They know me and Jack Daniеl's got a history There's a party downtown near 5th Street Evеrybody at the bar gettin' tipsy    Everybody at the bar gettin' tipsy Everybody at the bar gettin' tipsy    I've been Boozey since I left I ain't changin' for a check Tell my ma I ain't forget (Oh, Lord), I Woke up drunk at 10 a.m.​ We gon' do this shit again Tell your girl to bring a friend, oh, Lord   One, here comes the two to the three to the four Tell 'em ""Bring another round,"" we need plenty more Two-steppin' on the table, she don't need a dance floor Oh my, good Lord    Someone pour me up a double shot of whiskey (Double shot of whiskey) They know me and Jack Daniel's got a history (We go way back) There's a party downtown near 5th Street Everybody at the bar gettin' tipsy    Everybody at the bar gettin' tipsy (At the bar gettin' tipsy) Everybody at the bar gettin' tipsy    One, here comes the two to the three to the four When it's last call and they kick us out the door It's gettin' kind of late, but the ladies want some more Oh my, good Lord (Tell 'em drinks on me)    Someone pour me up a double shot of whiskey (Double shot of whiskey) They know me and Jack Daniel's got a history (Way back) There's a party downtown near 5th Street (Come on) Everybody at the bar gettin' tipsy (Woo-ooh) Someone pour me up a double shot of whiskey (Double shot of whiskey) They know me and Jack Daniel's got a history (It's Jack D) At the bottom of a bottle, don't miss me (Baby, don't miss me) Everybody at the bar gettin' tipsy (At the bar gettin' tipsy)   Everybody at the bar gettin' tipsy Everybody at the bar gettin' tipsy    That's fuckin' messed up, bro, they kicked me out the bar"
"2","Die With A Smile","Lady Gaga & Bruno Mars","  (Ooh, ooh)    I, I just woke up from a dream Where you and I had to say goodbye And I don't know what it all means But since I survived, I realized    Wherever you go, that's where I'll follow Nobody's promised tomorrow So I'ma love you every night like it's the last night Like it's the last night    If the world was ending I'd wanna be next to you If the party was over And our time on Earth was through I'd wanna hold you just for a while And die with a smile If the world was ending I'd wanna be next to you    (Ooh, ooh)   Ooh, lost, lost in the words that we scream I don't even wanna do this anymore 'Cause you already know what you mean to me And our love's the only war worth fighting for    Wherever you go, that's where I'll follow Nobody's promised tomorrow So I'ma love you every night like it's the last night Like it's the last night    If the world was ending I'd wanna be next to you If the party was over And our time on Earth was through I'd wanna hold you just for a while And die with a smile If the world was ending I'd wanna be next to you    Right next to you Next to you Right next to you Oh-oh   If the world was ending I'd wanna be next to you If the party was over And our time on Earth was through I'd wanna hold you just for a while And die with a smile If the world was ending I'd wanna be next to you If the world was ending I'd wanna be next to you    (Ooh, ooh) I'd wanna be next to you"
"3","Birds Of A Feather","Billie Eilish","     I want you to stay 'Til I'm in the grave 'Til I rot away, dead and buried 'Til I'm in the casket you carry If you go, I'm goin' too, uh 'Cause it was always you (Alright) And if I'm turnin' blue, please don't save me Nothin' left to lose without my baby    Birds of a feather, we should stick together, I know I said I'd never think I wasn't better alone Can't change the weather, might not be forever But if it's forever, it's even better    And I don't know what I'm cryin' for I don't think I could love you more It might not be long, but baby, I    I'll love you 'til the day that I die 'Til the day that I die 'Til the light leaves my eyes 'Til the day that I die   I want you to see, hm How you look to me, hm You wouldn't believe if I told ya You would keep the compliments I throw ya But you're so full of shit, uh Tell me it's a bit, oh Say you don't see it, your mind's polluted Say you wanna quit, don't be stupid    And I don't know what I'm cryin' for I don't think I could love you more Might not be long, but baby, I Don't wanna say goodbye    Birds of a feather, we should stick together, I know ('Til the day that I die) I said I'd never think I wasn't better alone ('Til the light leaves my eyes) Can't change the weather, might not be forever ('Til the day that I die) But if it's forever, it's even better    I knew you in another life You had that same look in your eyes I love you, don't act so surprised"
"4","Espresso","Sabrina Carpenter","  Now he's thinkin' 'bout me every night, oh Is it that sweet? I guess so Say you can't sleep, baby, I know That's that me espresso Move it up, down, left, right, oh Switch it up like Nintendo Say you can't sleep, baby, I know That's that me espresso    I can't relate to desperation My give-a-fucks are on vacation And I got this one boy and he won't stop calling When they act this way, I know I got 'em    (Mm) Too bad your ex don't do it for ya (Mm) Walked in and dream-came-trued it for ya (Mm) Soft skin and I perfumed it for ya (Yes) I know I Mountain Dew it for ya (Yes) That morning coffee, brewed it for ya (Yes) One touch and I brand-newed it for ya (Ooh)    And now he's thinkin' 'bout me every night, oh Is it that sweet? I guess so Say you can't sleep, baby, I know That's that me espresso Move it up, down, left, right, oh Switch it up like Nintendo Say you can't sleep, baby, I know That's that me espresso   Holy shit Is it that sweet? I guess so (Mm)    I'm working late 'cause I'm a singer Oh, he looks so cute wrapped 'round my finger My twisted humor make him laugh so often My honeybee, come and get this pollen    (Mm) Too bad your ex don't do it for ya (Mm) Walked in and dream-came-trued it for ya (Mm) Soft skin and I perfumed it for ya (Ayy, ayy, oh) (Yes) I know I Mountain Dew it for ya (Yes) That morning coffee, brewed it for ya (Yes) One touch and I brand-newed it for ya (Stupid)    Now he's thinkin' 'bout me every night, oh Is it that sweet? I guess so Say you can't sleep, baby, I know That's that me espresso Move it up, down, left, right, oh Switch it up like Nintendo Say you can't sleep, baby, I know That's that me espresso (Yes) Thinkin' 'bout me every night, oh Is it that sweet? I guess so (Yes) Say you can't sleep, baby, I know That's that me espresso (Yes) Move it up, down, left, right, oh (Move it up, down, left, right, oh) Switch it up like Nintendo (Yes) Say you can't sleep, baby, I know That's that me espresso   Is it that sweet? I guess so Mm, that's that me espresso"
"5","Lose Control","Teddy Swims","  Something's got a hold of me lately No, I don’t know myself anymore Feels like the walls are all closin' in And the devil's knockin’ at my door, woah Out of my mind, how many times did I tell you I'm no good at bein' alone? Yeah, it's taken a toll on me, tryin' my best to keep From tearin' the skin off my bones, don't you know    I lose control When you're not next to me I’m fallin’ apart right in front of you, can't you see? I lose control When you’re not next to me, mhm Yeah, you're breakin' my heart, baby You make a mess of me    Problematic The problem is I want your body like a fiend, like a bad habit Bad habits hard to break when I'm with you Yeah, I know I can do it on my own But I want that real full-moon black magic and it takes two Problematic The problem is when I’m with you I'm an addict And I need some relief, my skin in your teeth Can't see the forest through the trees Got me down on my knees, darlin', please, oh   I lose control When you're not next to me I'm fallin' apart right in front of you, can't you see? I lose control When you're not next to me (Mm-hmm) Yeah, you're breakin' my heart, baby You make a mess of me, yeah       I lose control When you're not here with me, mm I'm fallin' apart right in front of you, can't you see? I lose control When you're not here with me, mhm Yeah, you're breakin' my heart, baby You make a mess of me"
"6","That's So True","Gracie Abrams","  I could go and read your mind Think about your dumb face all the time Living in your glass house, I'm outside, uh Looking into big blue eyes Did it just to hurt me, make me cry Smiling through it all, yeah, that's my life    You're an idiot, now I'm sure Now I'm positive, I should go and warn her    Ooh, bet you're thinking, ""She's so cool"" Kicking back on your couch, making eyes from across the room Wait, I think I've been there too, ooh    What'd she do to get you off? (Uh-huh) Taking down her hair like, oh my God Taking off your shirt, I did that once Or twice, uh No, I know, I know I'll fuck off (Uh-huh) But I think I like her, she's so fun Wait, I think I hate her, I'm not that evolved   I'm sorry she's missing it, sad, sad boy Not my business, but I had to warn ya    Ooh, bet you're thinking, ""She's so cool"" Kicking back on your couch, making eyes from across the room Wait, I think I've been there too, ooh Ooh, you've got me thinking, ""She's so cool"" But I know what I know and you're just another dude Ooh, that's so true, ooh    Made it out alive, but I think I lost it Said that I was fine, said it from the coffin Remember how I died when you started walking? That's my life, that's my life I'll put up a fight, taking out my earrings Don't you know the vibe? Don't you know the feeling? You should spend the night, catch me on your ceiling That's your prize, that's your prize Well    Mm, bet you're thinking, ""She's so cool"" Kicking back on your couch, making eyes from across the room Wait, I think I've been there too, ooh Ooh, you've got me thinking, ""She's so cool"" But I know what I know and you're just another dude Ooh, that's so true, ooh, ooh, oh"
"7","I Had Some Help","Post Malone Featuring Morgan Wallen","  You got a lotta nerve, don't you, baby? I only hit the curb 'cause you made me You're tellin' all your friends that I'm crazy Like I'm the only one Why'd you throw them stones if you Had a wild hair of your own or two? Livin' in your big glass house with a view I thought you knew    I had some help It ain't like I can make this kinda mess all by myself Don't act like you ain't help me pull that bottle off the shelf Been deep in every weekend if you couldn't tell They say, ""Teamwork makes the dream work"" Hell, I had some help (Help)    (Help)    You thought I'd take the blame for us a-crumbling Go 'round like you ain't guilty of somethin' Already lost the game that you been runnin' Guess it's catchin' up to you, huh You think that you're so innocent After all the shit you did I ain't an angel, you ain't heaven-sent Can't wash our hands of this   I had some help It ain't like I can make this kinda mess all by myself Don't act like you ain't help me pull that bottle off the shelf Been deep in every weekend if you couldn't tell They say, ""Teamwork makes the dream work"" Hell, I had some help (Help)    (Help) (Help) (Help)    It takes two to break a heart in two, ooh Baby, you blame me and, baby, I blame you Aw, if that ain't the truth (Oh)    I had some help It ain't like I can make this kinda mess all by myself Don't act like you ain't help me pull that bottle off the shelf Been deep in every weekend if you couldn't tell They say, ""Teamwork makes the dream work"" Hell, I had some help (Help)   (Help) (Help) (Help)"
"8","Taste","Sabrina Carpenter","  Oh, I leave quite an impression Five feet to be exact You're wonderin' why half his clothes went missin' My body's where they're at    Now I'm gone, but you're still layin' Next to me, one degree of separation    I heard you're back together and if that's true You'll just have to taste me when he's kissin' you If you want forever, and I bet you do Just know you'll taste me too    Uh-huh    He pins you down on the carpet Makes paintings with his tongue (La-la-la-la-la-la-la) Hе's funny now, all his jokes hit different Guеss who he learned that from?    Now I'm gone, but you're still layin' Next to me, one degree of separation   I heard you're back together and if that's true You'll just have to taste me when he's kissin' you If you want forever, and I bet you do (I bet you do) Just know you'll taste me too    La-la-la-la-la-la-la    Every time you close your eyes And feel his lips, you're feelin' mine And every time you breathe his air Just know I was already there You can have him if you like I've been there, done that once or twice And singin' 'bout it don't mean I care Yeah, I know I've been known to share    Well, I heard you're back together and if that's true You'll just have to taste me when he's kissin' you If you want forever, and I bet you do (I bet you do) Just know you'll taste me too    Taste me too, ow (La-la-la-la-la-la-la) You'll just have to taste me when he's kissin' you You, no, yeah, ah-ah (La-la-la-la-la-la-la) You'll just have to taste me when he's kissin' you"
"9","Beautiful Things","Benson Boone","  For a while there, it was rough But lately, I've been doin' better Than the last four cold Decembers I recall And I see my family every month I found a girl my parents love She'll come and stay the night, and I think I might have it all And I thank God every day For the girl He sent my way But I know the things He gives me, He can take away And I hold you every night And that's a feeling I wanna get used to But there's no man as terrified as the man who stands to lose you    Oh, I hope I don't losе you Mm, please stay I want you, I need you, oh God Don't take Thеse beautiful things that I've got    Please stay I want you, I need you, oh, God Don't take These beautiful things that I've got   Oh, ooh Please don't take    I found my mind, I'm feelin' sane It's been a while, but I'm finding my faith If everything's good and it's great, why do I sit and wait 'til it's gone? Oh, I'll tell ya, I know I've got enough I've got peace and I've got love But I'm up at night thinkin' I just might lose it all    Please stay I want you, I need you, oh God Don't take These beautiful things that I've got    Oh, ooh    Please stay I want you, I need you, oh God I need These beautiful things that I've got"
"10","Love Somebody","Morgan Wallen","  Rumors goin' all over town Can't keep my name out they mouth these days Yeah, they say I live too fast to settle down Truth is I just ain't about these games They all play    Wanna find Somethin' stronger than the whiskey And oh, I've tried But every time I feel her kiss me, I keep comin' up empty, yeah    I just wanna love somebody Who won't leave a hole in my heart I just wanna love somebody That don't want me fallin' apart And I'd be lucky if I ever find A somethin' more than just a crazy night I just wanna love somе-    ​-Body who ain't hypnotized By dollar signs and blindin' lights Like they tеnd to be, yeah I need someone that I'd be proud To take on back to my hometown Honest eyes that just ain't gonna lead   To lonely nights Even when she's up against me I don't know why It feels like there's nobody with me And I'm still empty, yeah    I just wanna love somebody Who won't leave a hole in my heart I just wanna love somebody That don't want me fallin' apart And I'd be lucky if I ever find A somethin' more than just a crazy night I just wanna love somebody       I just wanna love somebody (Woah) I just wanna love somebody Who won't leave a hole in my heart I just wanna love somebody That don't want me fallin' apart And I'd be lucky if I ever find A somethin' more than just a crazy night I just wanna love somebody"
